id	Date	parasites
c	2000-01-04	2
n	2000-01-04	3
n	2000-01-07	2
n	2000-01-09	2
w	2000-01-11	4
n	2000-01-13	1
a	2000-01-18	7
d	2000-01-23	2
n	2000-01-27	8
k	2000-01-31	2
n	2000-02-02	2
k	2000-02-03	8
d	2000-02-05	8
d	2000-02-10	3
w	2000-02-11	3
d	2000-02-13	6
d	2000-02-19	6
c	2000-02-21	6
d	2000-02-29	10
f	2000-03-11	8
f	2000-03-16	4
c	2000-03-18	3
a	2000-03-18	4
d	2000-03-18	4
w	2000-03-20	7
k	2000-03-21	5
w	2000-04-07	12
a	2000-04-27	6
g	2000-05-03	1
d	2000-05-05	3
f	2000-05-06	6
c	2000-05-07	3
s	2000-05-09	8
d	2000-05-16	4
d	2000-05-21	4
w	2000-06-16	8
n	2000-06-28	4
f	2000-07-04	8
n	2000-07-06	3
f	2000-07-14	3
k	2000-07-31	6
n	2000-08-04	5
g	2000-08-11	3
d	2000-08-12	4
a	2000-08-13	11
f	2000-08-19	4
