Date	a	c	d	f	g	k	n	s	w	z
2000-01-01	1	1	1	1	1	1	1	0	1	1
2000-01-02	1	1	1	1	1	1	1	0	1	1
2000-01-03	1	1	1	1	1	1	1	0	1	1
2000-01-04	1	1	1	1	1	1	1	0	1	1
2000-01-05	1	1	1	1	1	1	1	0	1	1
2000-01-06	1	1	1	1	1	1	1	0	1	1
2000-01-07	1	1	1	1	1	1	1	0	1	1
2000-01-08	1	1	1	1	1	1	1	0	1	1
2000-01-09	1	1	1	1	1	1	1	0	1	1
2000-01-10	1	1	1	1	1	1	1	0	1	1
2000-01-11	1	1	1	1	1	1	1	0	1	1
2000-01-12	1	1	1	1	1	1	1	0	1	1
2000-01-13	1	1	1	1	1	1	1	0	1	1
2000-01-14	1	1	1	1	1	1	1	0	1	1
2000-01-15	1	1	1	1	1	1	1	0	1	1
2000-01-16	1	1	1	1	1	1	1	0	1	1
2000-01-17	1	1	1	1	1	1	1	0	1	1
2000-01-18	1	1	1	1	1	1	1	0	1	1
2000-01-19	1	1	1	1	1	1	1	0	1	1
2000-01-20	1	1	1	1	1	1	1	0	1	1
2000-01-21	1	1	1	1	1	1	1	0	1	1
2000-01-22	1	1	1	1	1	1	1	0	1	1
2000-01-23	1	1	1	1	1	1	1	0	1	1
2000-01-24	1	1	1	1	1	1	1	0	1	1
2000-01-25	1	1	1	1	1	1	1	0	1	1
2000-01-26	1	1	1	1	1	1	1	0	1	1
2000-01-27	1	1	1	1	1	1	1	0	1	1
2000-01-28	1	1	1	1	1	1	1	0	1	1
2000-01-29	1	1	1	1	1	1	1	0	1	1
2000-01-30	1	1	1	1	1	1	1	0	1	1
2000-01-31	1	1	1	1	1	1	1	0	1	1
2000-02-01	1	1	1	1	1	1	1	0	1	1
2000-02-02	1	1	1	1	1	1	1	0	1	1
2000-02-03	1	1	1	1	1	1	1	0	1	1
2000-02-04	1	1	1	1	1	1	1	0	1	1
2000-02-05	1	1	1	1	1	1	1	0	1	1
2000-02-06	1	1	1	1	1	1	1	0	1	1
2000-02-07	1	1	1	1	1	1	1	0	1	1
2000-02-08	1	1	1	1	1	1	1	0	1	1
2000-02-09	1	1	1	1	1	1	1	0	1	1
2000-02-10	1	1	1	1	1	1	1	0	1	1
2000-02-11	1	1	1	1	1	1	1	0	1	1
2000-02-12	1	1	1	1	1	1	1	0	1	1
2000-02-13	1	1	1	1	1	1	1	0	1	1
2000-02-14	1	1	1	1	1	1	1	0	1	1
2000-02-15	1	1	1	1	1	1	1	0	1	1
2000-02-16	1	1	1	1	1	1	1	0	1	1
2000-02-17	1	1	1	1	1	1	1	0	1	1
2000-02-18	1	1	1	1	1	1	1	0	1	1
2000-02-19	1	1	1	1	1	1	1	0	1	1
2000-02-20	1	1	1	1	1	1	1	0	1	1
2000-02-21	1	1	1	1	1	1	1	0	1	1
2000-02-22	1	1	1	1	1	1	1	0	1	1
2000-02-23	1	1	1	1	1	1	1	0	1	1
2000-02-24	1	1	1	1	1	1	1	0	1	1
2000-02-25	1	1	1	1	1	1	1	0	1	1
2000-02-26	1	1	1	1	1	1	1	0	1	1
2000-02-27	1	1	1	1	1	1	1	0	1	1
2000-02-28	1	1	1	1	1	1	1	0	1	1
2000-02-29	1	1	1	1	1	1	1	0	1	1
2000-03-01	1	1	1	1	1	1	1	0	1	1
2000-03-02	1	1	1	1	1	1	1	0	1	1
2000-03-03	1	1	1	1	1	1	1	0	1	1
2000-03-04	1	1	1	1	1	1	1	0	1	1
2000-03-05	1	1	1	1	1	1	1	0	1	1
2000-03-06	1	1	1	1	1	1	1	0	1	1
2000-03-07	1	1	1	1	1	1	1	0	1	1
2000-03-08	1	1	1	1	1	1	1	0	1	1
2000-03-09	1	1	1	1	1	1	1	0	1	1
2000-03-10	1	1	1	1	1	1	1	0	1	1
2000-03-11	1	1	1	1	1	1	1	0	1	1
2000-03-12	1	1	1	1	1	1	1	0	1	1
2000-03-13	1	1	1	1	1	1	1	0	1	1
2000-03-14	1	1	1	1	1	1	1	0	1	1
2000-03-15	1	1	1	1	1	1	1	0	1	1
2000-03-16	1	1	1	1	1	1	1	0	1	1
2000-03-17	1	1	1	1	1	1	1	0	1	1
2000-03-18	1	1	1	1	1	1	1	0	1	1
2000-03-19	1	1	1	1	1	1	1	0	1	1
2000-03-20	1	1	1	1	1	1	1	0	1	1
2000-03-21	1	1	1	1	1	1	1	0	1	1
2000-03-22	1	1	1	1	1	1	1	0	1	1
2000-03-23	1	1	1	1	1	1	1	0	1	1
2000-03-24	1	1	1	1	1	1	1	0	1	1
2000-03-25	1	1	1	1	1	1	1	0	1	1
2000-03-26	1	1	1	1	1	1	1	0	1	1
2000-03-27	1	1	1	1	1	1	1	0	1	1
2000-03-28	1	1	1	1	1	1	1	0	1	1
2000-03-29	1	1	1	1	1	1	1	0	1	1
2000-03-30	1	1	1	1	1	1	1	0	1	1
2000-03-31	1	1	1	1	1	1	1	0	1	1
2000-04-01	1	1	1	1	1	1	1	0	1	1
2000-04-02	1	1	1	1	1	1	1	0	1	1
2000-04-03	1	1	1	1	1	1	1	0	1	1
2000-04-04	1	1	1	1	1	1	1	0	1	1
2000-04-05	1	1	1	1	1	1	1	0	1	1
2000-04-06	1	1	1	1	1	1	1	0	1	1
2000-04-07	1	1	1	1	1	1	1	0	1	1
2000-04-08	1	1	1	1	1	1	1	0	1	1
2000-04-09	1	1	1	1	1	1	1	0	1	1
2000-04-10	1	1	1	1	1	1	1	0	1	1
2000-04-11	1	1	1	1	1	1	1	0	1	1
2000-04-12	1	1	1	1	1	1	1	0	1	1
